1b569d0f-f85d-42d2-884b-d298b92fbc81;3ae2032c-f499-4c12-8a59-82341a73399b; Rua da União, 59, Fátima, Joinville - SC
d7f274a3-ded1-4136-8e36-ed8e15b6db4e;26b4fd71-6bb8-4749-9b81-6c596e88f7c7; Rodovia BR 101, 40250, km40, Atiradores, Joinville - SC
f292959c-8aef-4cb4-9e1a-2bf649ee8009;e5889a6f-9c13-4971-9783-f229ce9a33c9; Rua das Cegonhas, 326, Jardim Iririú, Joinville - SC
763de864-56ad-435b-a71c-200f6c0098d4;74fd7bd6-7129-4095-9422-40b8d8c67c7a;
b3aaa079-44e9-41bd-933a-4a929a2c8789;9731f42c-b924-4ef0-9e96-4c2750530a99; Rua Jorge Augusto Emílio Müller, 117, Iririú, Joinville - SC
345cb85b-dbc8-4904-a9c4-7f8b0bfb8c42;44ad51c6-cddb-44f5-a98f-6b40fdb92f89; Rua Vicente José Pereira, 46, Nova Brasília, Joinville - SC
38c8fa95-c07e-43ed-abe3-136b5670ddc3;82f5cb17-8a00-402f-bc31-54f4db6584ab; Rua Jacy Macedo Lobo, 257, Aventureiro, Joinville - SC
4c4c56e1-e397-472f-8a92-c95e79cd0b7e;2e8d2c75-790b-49a4-b2bb-dc81dc1bb88a; Rua Marcos João Serafim, 860, Vila Nova, Joinville - SC
4a69c9a1-6a31-4acd-a579-8654f07fa897;8b0d7023-c23d-43f4-b859-9a9d0b4a334f; Rua Salto Veloso, 526, Iririú, Joinville - SC
6d6c9f8e-377b-4799-a811-5d004d03cae4;d3ae36a4-5e9c-4a25-a976-e8c6dbbb0ac0; . ., s/n, ., Joinville - SC
bc2a40f5-7e33-4f79-8126-9847e5c3f670;27816934-4313-4507-9375-248085c04360; Rua Guilherme Krueger, 237, Floresta, Joinville - SC
c957a549-182f-4da9-975f-2e86723f3237;4b392bd4-069b-4062-9fdb-afbbf21c0a57; Rua Bom Retiro, 616, Nova Brasília, Joinville - SC
9c32f4c7-3eb8-4f10-b040-77e115048bfa;ea80c425-7e3c-4872-aac8-b99ac0188f5d; Rua Tuiuti, 3120, Aventureiro, Joinville - SC
f0d38e3b-8a50-4377-95ea-69e5f23df201;18ebf748-2026-4d05-8416-ce7c956fa6c8; Rua Guatemala, 64, Itaum, Joinville - SC
182bf87e-09a0-4dad-8c8c-8085bd6d2a7c;fddd88b7-12a8-4030-9cf8-c6341d03ebc9; Rua Blumenau, 735, Esquina com a Rua Timbó, América, Joinville - SC
fe230758-38a7-4fd7-8393-94e524db12c3;44adcf8a-f107-43cb-a343-fa206bb6cdb5; Rua David Tomas Pereira, 2118, Aventureiro, Joinville - SC
f7adecd8-71f1-496b-ac9c-8c9e3a74e9f4;2cfa2c4c-891e-4f5b-a4f2-679ea31b72f7; Rua Dona Francisca, 9215, Zona Industrial, Joinville - SC
fb67275a-4a38-44e7-93f7-169e67a57056;bddabe26-0664-4d89-9241-ac1f7371fba0; Rua Abdon Batista, 121, Edifício Hannover, sala 906, Centro, Joinville - SC
511b8cb2-71d6-4848-bd11-5581d04ebf0f;26fbae76-1ded-42fa-ad05-83e7c4186705; Rua Quinze de Novembro, 5008, Vila Nova, Joinville - SC
397a4a04-fb5f-415c-ab96-141de967cb81;c469c45d-be8a-4de6-8311-5e58d36ec61a; Rua Abdon Batista, 121, 19º Andar, Centro, Joinville - SC
